Date [mm/dd] Start Time [hh:mm:ss],Iter_Duration [ms],C_CH4 [ppm],C_H2S [ppm],RH [%],T [C],time
4/18/2025 23:21,210,210,0,35,30,4/18/2025 23:21:40
4/18/2025 23:50,345,345,0,35,30,4/18/2025 23:50:40
4/19/2025 0:19,480,480,0,35,30,4/19/2025 0:19:40
4/19/2025 0:48,615,615,0,35,30,4/19/2025 0:48:40
4/19/2025 1:17,750,750,0,35,30,4/19/2025 1:17:40
4/19/2025 1:46,1670,1670,0,35,30,4/19/2025 1:46:40
4/19/2025 2:15,2590,2590,0,35,30,4/19/2025 2:15:40
4/19/2025 2:44,3510,3510,0,35,30,4/19/2025 2:44:40
4/19/2025 3:13,2.1,2.1,0,100,30,4/19/2025 3:13:40
4/19/2025 3:42,6,6,0,100,30,4/19/2025 3:42:40
4/19/2025 4:11,29,29,0,100,30,4/19/2025 4:11:40
4/19/2025 4:40,52,52,0,100,30,4/19/2025 4:40:40
4/19/2025 5:09,71,71,0,100,30,4/19/2025 5:09:40
4/19/2025 5:38,210,210,0,100,30,4/19/2025 5:38:40
4/19/2025 6:07,345,345,0,100,30,4/19/2025 6:07:40
4/19/2025 6:36,480,480,0,100,30,4/19/2025 6:36:40
4/19/2025 7:05,615,615,0,100,30,4/19/2025 7:05:40
4/19/2025 7:34,750,750,0,100,30,4/19/2025 7:34:40
4/19/2025 8:03,1670,1670,0,100,30,4/19/2025 8:03:40
4/19/2025 8:32,2590,2590,0,100,30,4/19/2025 8:32:40
4/19/2025 9:01,3510,3510,0,100,30,4/19/2025 9:01:40
4/19/2025 9:30,2.1,2.1,0,0,30,4/19/2025 9:30:40
4/19/2025 9:59,6,6,0,0,30,4/19/2025 9:59:40
4/19/2025 10:28,29,29,0,0,30,4/19/2025 10:28:40
4/19/2025 10:57,52,52,0,0,30,4/19/2025 10:57:40
4/19/2025 11:26,71,71,0,0,30,4/19/2025 11:26:40
4/19/2025 11:55,210,210,0,0,30,4/19/2025 11:55:40
4/19/2025 12:24,345,345,0,0,30,4/19/2025 12:24:40
4/19/2025 12:53,480,480,0,0,30,4/19/2025 12:53:41
4/19/2025 13:22,615,615,0,0,30,4/19/2025 13:22:41
4/19/2025 13:51,750,750,0,0,30,4/19/2025 13:51:41
4/19/2025 14:20,1670,1670,0,0,30,4/19/2025 14:20:41
4/19/2025 14:49,2590,2590,0,0,30,4/19/2025 14:49:41
4/19/2025 15:18,3510,3510,0,0,30,4/19/2025 15:18:41
4/19/2025 15:47,2.1,2.1,0,35,30,4/19/2025 15:47:41
4/19/2025 16:16,6,6,0,35,30,4/19/2025 16:16:41
4/19/2025 16:45,29,29,0,35,30,4/19/2025 16:45:41
4/19/2025 17:14,52,52,0,35,30,4/19/2025 17:14:41
4/19/2025 17:43,71,71,0,35,30,4/19/2025 17:43:41
4/19/2025 18:12,210,210,0,35,30,4/19/2025 18:12:41
4/19/2025 18:41,345,345,0,35,30,4/19/2025 18:41:41
4/19/2025 19:10,480,480,0,35,30,4/19/2025 19:10:41
4/19/2025 19:39,615,615,0,35,30,4/19/2025 19:39:41
4/19/2025 20:08,750,750,0,35,30,4/19/2025 20:08:41
4/19/2025 20:37,1670,1670,0,35,30,4/19/2025 20:37:41
4/19/2025 21:06,2590,2590,0,35,30,4/19/2025 21:06:41
4/19/2025 21:35,3510,3510,0,35,30,4/19/2025 21:35:41
4/19/2025 22:04,2.1,2.1,0,100,30,4/19/2025 22:04:41
4/19/2025 22:33,6,6,0,100,30,4/19/2025 22:33:41
4/19/2025 23:02,29,29,0,100,30,4/19/2025 23:02:41
4/19/2025 23:31,52,52,0,100,30,4/19/2025 23:31:41
4/20/2025 0:00,71,71,0,100,30,4/20/2025 0:00:41
4/20/2025 0:29,210,210,0,100,30,4/20/2025 0:29:41
4/20/2025 0:58,345,345,0,100,30,4/20/2025 0:58:41
4/20/2025 1:27,480,480,0,100,30,4/20/2025 1:27:41
4/20/2025 1:56,615,615,0,100,30,4/20/2025 1:56:41
4/20/2025 2:25,750,750,0,100,30,4/20/2025 2:25:41
4/20/2025 2:54,1670,1670,0,100,30,4/20/2025 2:54:41
4/20/2025 3:23,2590,2590,0,100,30,4/20/2025 3:23:41
4/20/2025 3:52,3510,3510,0,100,30,4/20/2025 3:52:41
4/20/2025 4:21,2.1,2.1,0,0,40,4/20/2025 4:21:41
4/20/2025 4:50,2.1,2.1,0,0,40,4/20/2025 4:50:41
4/20/2025 5:19,6,6,0,0,40,4/20/2025 5:19:41
4/20/2025 5:48,29,29,0,0,40,4/20/2025 5:48:41
4/20/2025 6:17,52,52,0,0,40,4/20/2025 6:17:41
4/20/2025 6:46,71,71,0,0,40,4/20/2025 6:46:41
4/20/2025 7:15,210,210,0,0,40,4/20/2025 7:15:41
4/20/2025 7:44,345,345,0,0,40,4/20/2025 7:44:41
4/20/2025 8:13,480,480,0,0,40,4/20/2025 8:13:41
4/20/2025 8:42,615,615,0,0,40,4/20/2025 8:42:41
4/20/2025 9:11,750,750,0,0,40,4/20/2025 9:11:41
4/20/2025 9:40,1670,1670,0,0,40,4/20/2025 9:40:41
4/20/2025 10:09,2590,2590,0,0,40,4/20/2025 10:09:41
4/20/2025 10:38,3510,3510,0,0,40,4/20/2025 10:38:41
4/20/2025 11:07,2.1,2.1,0,35,40,4/20/2025 11:07:41
4/20/2025 11:36,6,6,0,35,40,4/20/2025 11:36:41
4/20/2025 12:05,29,29,0,35,40,4/20/2025 12:05:41
4/20/2025 12:34,52,52,0,35,40,4/20/2025 12:34:41
4/20/2025 13:03,71,71,0,35,40,4/20/2025 13:03:41
4/20/2025 13:32,210,210,0,35,40,4/20/2025 13:32:41
4/20/2025 14:01,345,345,0,35,40,4/20/2025 14:01:41
4/20/2025 14:30,480,480,0,35,40,4/20/2025 14:30:41
4/20/2025 14:59,615,615,0,35,40,4/20/2025 14:59:41
4/20/2025 15:28,750,750,0,35,40,4/20/2025 15:28:41
4/20/2025 15:57,1670,1670,0,35,40,4/20/2025 15:57:41
4/20/2025 16:26,2590,2590,0,35,40,4/20/2025 16:26:41
4/20/2025 16:55,3510,3510,0,35,40,4/20/2025 16:55:41
4/20/2025 17:24,2.1,2.1,0,100,40,4/20/2025 17:24:41
4/20/2025 17:53,6,6,0,100,40,4/20/2025 17:53:41
4/20/2025 18:22,29,29,0,100,40,4/20/2025 18:22:41
4/20/2025 18:51,52,52,0,100,40,4/20/2025 18:51:41
4/20/2025 19:20,71,71,0,100,40,4/20/2025 19:20:41
4/20/2025 19:49,210,210,0,100,40,4/20/2025 19:49:41
4/20/2025 20:18,345,345,0,100,40,4/20/2025 20:18:41
4/20/2025 20:47,480,480,0,100,40,4/20/2025 20:47:41
4/20/2025 21:16,615,615,0,100,40,4/20/2025 21:16:41
4/20/2025 21:45,750,750,0,100,40,4/20/2025 21:45:41
4/20/2025 22:14,1670,1670,0,100,40,4/20/2025 22:14:41
4/20/2025 22:43,2590,2590,0,100,40,4/20/2025 22:43:41
4/20/2025 23:12,3510,3510,0,100,40,4/20/2025 23:12:41
4/20/2025 23:41,2.1,2.1,0,0,40,4/20/2025 23:41:41
4/21/2025 0:10,6,6,0,0,40,4/21/2025 0:10:41
4/21/2025 0:39,29,29,0,0,40,4/21/2025 0:39:41
4/21/2025 1:08,52,52,0,0,40,4/21/2025 1:08:41
4/21/2025 1:37,71,71,0,0,40,4/21/2025 1:37:41
4/21/2025 2:06,210,210,0,0,40,4/21/2025 2:06:41
4/21/2025 2:35,345,345,0,0,40,4/21/2025 2:35:41
4/21/2025 3:04,480,480,0,0,40,4/21/2025 3:04:41
4/21/2025 3:33,615,615,0,0,40,4/21/2025 3:33:41
4/21/2025 4:02,750,750,0,0,40,4/21/2025 4:02:41
4/21/2025 4:31,1670,1670,0,0,40,4/21/2025 4:31:41
4/21/2025 5:00,2590,2590,0,0,40,4/21/2025 5:00:41
4/21/2025 5:29,3510,3510,0,0,40,4/21/2025 5:29:41
4/21/2025 5:58,2.1,2.1,0,35,40,4/21/2025 5:58:41
4/21/2025 6:27,6,6,0,35,40,4/21/2025 6:27:41
4/21/2025 6:56,29,29,0,35,40,4/21/2025 6:56:41
4/21/2025 7:25,52,52,0,35,40,4/21/2025 7:25:41
4/21/2025 7:54,71,71,0,35,40,4/21/2025 7:54:41
4/21/2025 8:23,210,210,0,35,40,4/21/2025 8:23:41
4/21/2025 8:52,345,345,0,35,40,4/21/2025 8:52:41
4/21/2025 9:21,480,480,0,35,40,4/21/2025 9:21:41
4/21/2025 9:50,615,615,0,35,40,4/21/2025 9:50:41
4/21/2025 10:19,750,750,0,35,40,4/21/2025 10:19:41
4/21/2025 10:48,1670,1670,0,35,40,4/21/2025 10:48:41
4/21/2025 11:17,2590,2590,0,35,40,4/21/2025 11:17:41
4/21/2025 11:46,3510,3510,0,35,40,4/21/2025 11:46:41
4/21/2025 12:15,2.1,2.1,0,100,40,4/21/2025 12:15:41
4/21/2025 12:44,6,6,0,100,40,4/21/2025 12:44:41
4/21/2025 13:13,29,29,0,100,40,4/21/2025 13:13:42
4/21/2025 13:42,52,52,0,100,40,4/21/2025 13:42:42
4/21/2025 14:11,71,71,0,100,40,4/21/2025 14:11:42
4/21/2025 14:40,210,210,0,100,40,4/21/2025 14:40:42
4/21/2025 15:09,345,345,0,100,40,4/21/2025 15:09:42
4/21/2025 15:38,480,480,0,100,40,4/21/2025 15:38:42
4/21/2025 16:07,615,615,0,100,40,4/21/2025 16:07:42
4/21/2025 16:36,750,750,0,100,40,4/21/2025 16:36:42
4/21/2025 17:05,1670,1670,0,100,40,4/21/2025 17:05:42
4/21/2025 17:34,2590,2590,0,100,40,4/21/2025 17:34:42
4/21/2025 18:03,3510,3510,0,100,40,4/21/2025 18:03:42
4/21/2025 18:32,2.1,2.1,0,0,40,4/21/2025 18:32:42
